1,Running Shoes,Sports,223.75
2,Fitness Tracker,Sports,196.68
3,Yoga Mat,Sports,485.32
4,Dumbbells,Sports,26.21
5,Soccer Ball,Sports,41.26
6,Tennis Racket,Sports,36.07
7,Basketball,Sports,225.12
8,Football Helmet,Sports,44.75
9,Baseball Glove,Sports,327.36
10,Golf Clubs,Sports,81.59
11,Ski Boots,Sports,340.2
12,Ice Skates,Sports,37.56
13,Swim Goggles,Sports,145.97
14,Cycling Helmet,Sports,472.32
15,Climbing Rope,Sports,410.17
16,Kayak,Sports,259.4
17,Surfboard,Sports,275.43
18,Volleyball,Sports,42.8
19,Hockey Stick,Sports,173.83
20,Boxing Gloves,Sports,262.32
